groupement_siren,adhesion_siren
200039055,252109392
200039055,998999569
200039063,200023265
200039063,200043867
200039063,200047678
200039063,200047686
200039063,200049922
200039063,200055267
200039063,200060861
200039063,200072833
200039063,200080448
200039063,200092815
200039063,200094951
200039063,252108667
200039063,995093481
200039162,258801901
200039170,256404393
200039204,200007185
200039204,200024446
200039204,200030641
200039204,200032332
200039204,200036705
200039204,200045391
200039204,200079051
200039204,200081263
200039204,200082519
200039204,200088722
200039204,256404393
200039204,256404781
200039519,200023638
200039519,200032126
200039519,200052405
200039519,200062263
200039519,200088052
200039519,254600877
200039519,254600901
200039519,258200443
200039519,258200674
200039642,200007573
200039642,200042356
200039642,200060861
200039642,200072833
200039642,200080323
200039642,200090371
200039642,200094654
200039642,200096709
200039642,258901727
200039709,200060861
200039709,200073278
200039709,200080323
200039709,252106620
200039758,200007573
200039758,200071330
200039758,200073278
200039758,200079119
200039758,200080323
200039758,252106620
200039758,258901628
200039758,258902576
200039758,932716004
200039808,200001642
200039808,200008027
200039808,200075232
200039808,200078806
200039808,240700658
200039808,250700218
200039808,250700267
200039808,250700374
200039808,250701307
200039808,250702156
200039808,253002349
200039824,200001642
200039824,200008027
200039824,200078806
200039824,240700658
200039824,250700374
200039824,250701851
200039824,250702388
200039832,200001642
200039832,200008027
200039832,200075232
200039832,200078806
200039832,250700218
200039832,250700267
200039832,250700374
200039832,250702156
200039832,250702388
200039832,253002349
200039840,253306062
200039857,200000586
200039857,200014801
200039857,200016319
200039857,200046076
200039857,200071397
200039857,200081362
200039857,200092955
200039857,200092997
200039857,200093003
200039857,200093235
200039857,250401072
200039857,250601879
200039857,250601937
200039857,250602125
200039857,250602174
200039865,200007680
200039865,200030989
200039865,200077477
200039865,200077543
200039865,200077907
200039865,200078798
200039865,200078814
200039865,200079788
200039865,200080182
200039865,200080422
200039865,200080737
200039865,200094480
200039865,200097012
200039865,255403719
200039865,255703795
200039865,938019247
200039907,200007680
200039907,200052058
200039907,200077477
200039907,200077543
200039907,200079788
200039907,200093821
200039907,200097012
200039907,255701427
200039907,255703852
200039907,255704462
200039907,255704538
200039915,200000586
200039915,200016319
200039915,200046076
200039915,200062727
200039915,200071397
200039915,200081362
200039915,200093235
200039915,250600012
200039915,250600962
200039915,250601879
200039915,250601937
200039915,250602174
200039931,200014801
200039931,200071397
200039931,200081362
200039931,200092989
200039931,200092997
200039931,250601168
200039949,200007680
200039949,200044717
200039949,200046597
200039949,200046811
200039949,200056190
200039949,200067007
200039949,200067015
200039949,200077543
200039949,200077907
200039949,200078798
200039949,200078814
200039949,200080208
200039949,200091478
200039949,255702292
200039949,255704116
200039949,938019247
200040038,200026599
200040038,200033553
200040038,200053122
200040038,200079283
200040038,200079382
200040038,200082006
200040038,200082022
200040038,200089944
200040038,252107701
200040038,252107818
200040038,257101873
200040038,257102541
200040038,257103218
200040095,200043362
200040095,200045771
200040095,200052215
200040095,200060697
200040095,200073443
200040095,200082048
200040095,200094811
200040095,200094910
200040095,200094928
200040095,252402193
200040095,252405329
200040111,200023364
200040111,200047363
200040111,200079192
200040111,253804025
200040111,253804363
200040111,257302141
200040137,200062107
200040137,251000972
200040137,251002085
200040137,251002515
200040137,255102089
200040137,255200289
200040178,200052546
200040178,200084986
200040178,200086080
200040178,200088490
200040178,256701152
200040178,256701244
200040178,256703075
200040202,200008258
200040202,200025070
200040202,200033702
200040202,200047611
200040202,248300089
200040202,250401072
200040202,258302637
200040210,200033702
200040210,200046852
200040210,200047611
200040210,248300089
200040210,250401072
200040244,200031995
200040244,200034080
200040244,200058352
200040244,200072197
200040244,200080133
200040244,200080844
200040244,200080851
200040244,200081735
200040244,200091049
200040244,247900640
200040244,257902296
200040244,257902379
200040244,258501634
200040251,200036481
200040251,200078046
200040251,200078137
200040251,200087021
200040251,257701748
200040251,257704593
200040251,257705293
200040251,259100857
200040277,200033942
200040277,200038693
200040277,200045532
200040277,200045649
200040277,200047603
200040277,200058816
200040277,200078152
200040277,200080570
200040277,200095537
200040277,200095560
200040277,200095776
200040277,200096162
200040277,200097293
200040277,252702402
200040277,252801972
200040277,252802160
200040277,252802400
200040277,252803341
200040277,252855697
200040277,252855705
200040277,939284501
200040293,200053072
200040293,200076214
200040293,200079242
200040293,200079408
200040293,200095990
200040293,257102830
200040293,257103564
200040350,200026516
200040350,200041192
200040350,200045888
200040350,200048536
200040350,200050755
200040350,200079200
200040350,250100880
200040350,250102522
200040350,253802730
200040350,257302422
200040384,200043362
200040384,200045771
200040384,200060697
200040384,200075729
200040384,200089654
200040384,252402193
200040384,252405329
200040384,253306617
200040392,200040962
200040392,200043362
200040392,200045771
200040392,200060697
200040392,200073443
200040392,200081735
200040392,200082048
200040392,200089654
200040392,200094811
200040392,200094928
200040392,200095784
200040392,252403829
200040392,252405329
200040400,200045771
200040400,200048882
200040400,200068260
200040400,200089654
200040400,252400908
200040400,252401922
200040400,252402391
200040400,252403118
200040400,252404272
200040400,252405329
200040418,200060523
200040418,200061257
200040418,200088052
200040418,254702384
200040418,258200328
200040418,258200443
200040418,258200658
200040418,258200674
200040418,258200856
200040418,258200864
200040418,258201383
200040426,200017598
200040426,200045979
200040426,200076131
200040426,200087625
200040426,200089225
200040426,250208790
200040426,258004688
200040434,200043115
200040442,200044873
200040442,200046530
200040442,200078863
200040442,258400472
200040442,258400654
200040442,258402304
200040442,258402346
200040442,258402510
200040442,258403013
200040459,200008027
200040459,200087393
200040459,200090595
200040459,200090637
200040459,252602404
200040459,252602453
200040459,252602552
200040475,200001873
200040475,200017689
